G'	A	E'	B	C	D	E	Elist'	F	G	H	I	L	relop	M	N	P	S	T	V	X	L'	Elist	H'	Program	B'	M'	<=	num	for	do	while	switch	default	not	else	and	record	id	[	]	if	case	==	++	--	proc	or	(	false	)	*	real	then	+	,	int	call	char	true	:	;	{	<	!=	}	=	>	return	>=	$	
					8							1				2	9	13		3									s4		s5	s11					s14	s17			s15					s6						s7				s18	s10	s12										s16		r3	
																																																																		s19					
																																																																						acc	
				20																																		r14	s21																																
																																																s22																							
			33			30		35	24	29	32																	s25						s26				s34										s28	s23									s27	s31												
																				36																																s37				s39		s38													
																																						r11	r11																																
					8							1				40	9	13		3									s4		s5	s11					s14	s17			s15					s6						s7				s18	s10	s12										s16		r3	
					8							1				41	9	13		3									s4		s5	s11					s14	s17			s15					s6						s7				s18	s10	s12										s16		r3	
																																						s42																																	
																																																s43																							
																																						r12	r12																																
																																						s44																																	
																																						s45																																	
			56			53		58	47	52	55																	s48						s49				s57										s51	s46									s50	s54												
						63		65	59																			s60										s64										s62										s61													
																					66																		s67																											r30					
																																						r10	r10																																
						68		65	59																			s60										s64										s62										s61													
																																						r9																																	
																												s69																																											
																																						s70																																	
																														r44						r44											r44																								
		71																									r20																r20											s72									r20	r20			r20		r20		
																											r26																r26								r26			r26									r26	r26			r26		r26		
			75			30		58	47	73	74																	s48						s26				s57										s28	s23									s50	s31												
																											r27																r27								r27			r27									r27	r27			r27		r27		
			86			83		88	77	82	85																	s78						s79				s87										s81	s76									s80	s84												
																									90					r36																	s89																								
													97														s91																s92																				s94	s95			s93		s96		
																														r43						r43											r43																								
																							98							r39						s99											r39																								
																														s100																																									
																											r25																r25								r25			r25									r25	r25			r25		r25		
101																											r23																r23								s102			r23									r23	r23			r23		r23		
																																						s103																																	
																																						r11																																	
																																						r12																																	
																																						r10																																	
																																																																						r1	
																																																																						r2	
																																																s104																							
																																						s105																																	
	107																																																						s106						r7					s108					
																																																														s109									
																																				r44											r44						r44																		
